id,host_id,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location
1636024,8689131,1,Ericeira,Mafra,38.954660,-9.412780,Entire rental unit,Entire home/apt,8,2,3,4,106,7,66,4.75,4.78,4.61,4.72
1643758,8724638,1,Misericrdia,Lisboa,38.711700,-9.144470,Entire rental unit,Entire home/apt,2,1,1,1,64,3,4,4,4.75,4.75,4.75
1654558,8772773,5,Colares,Sintra,38.840390,-9.460620,Entire cottage,Entire home/apt,3,1,1,2,55,3,91,4.63,4.81,4.57,4.85
1659471,2341627,4,Estrela,Lisboa,38.708440,-9.156150,Entire rental unit,Entire home/apt,5,1,1,2,71,6,125,4.73,4.84,4.72,4.65
1663817,1416183,17,Santa Maria Maior,Lisboa,38.712510,-9.126410,Entire rental unit,Entire home/apt,6,2,3,5,127,3,71,4.73,4.93,4.83,4.84
1672286,8852830,1,Misericrdia,Lisboa,38.709960,-9.149490,Entire loft,Entire home/apt,5,1,3,11,63,2,112,4.83,4.82,4.77,4.85
1676645,6798815,9,Misericrdia,Lisboa,38.713030,-9.145370,Entire rental unit,Entire home/apt,4,1,1,1,68,3,135,4.87,4.91,4.97,4.81
1679907,8863306,2,Santa Maria Maior,Lisboa,38.711620,-9.126460,Entire rental unit,Entire home/apt,2,1,0,1,65,3,252,4.82,4.9,4.91,4.8
1680924,6319121,2,Misericrdia,Lisboa,38.710910,-9.151060,Entire rental unit,Entire home/apt,4,1,2,2,40,1,30,4.1,4.15,4.1,4.31
1680951,6319121,2,Misericrdia,Lisboa,38.712610,-9.152750,Entire rental unit,Entire home/apt,2,1,1,1,36,1,23,4.26,4.5,4.36,4.57
1682496,7776099,3,Cascais e Estoril,Cascais,38.707260,-9.429800,Entire rental unit,Entire home/apt,4,1,1,2,70,7,9,4.78,4.78,4.89,4.25
1683495,5691663,76,Santa Maria Maior,Lisboa,38.716180,-9.132700,Entire residential home,Entire home/apt,4,1,2,2,76,2,184,4.57,4.71,4.55,4.71
1692783,8940691,1,Rio de Mouro,Sintra,38.783520,-9.322330,Private room in bed and breakfast,Private room,1,1,1,1,20,1,21,5,5,5,4.72
1692949,5691663,76,Santa Maria Maior,Lisboa,38.714520,-9.133050,Entire residential home,Entire home/apt,4,1,2,2,76,2,183,4.58,4.76,4.73,4.73
1701590,7776099,3,Cascais e Estoril,Cascais,38.706720,-9.429700,Entire rental unit,Entire home/apt,6,1,2,5,75,7,21,4.52,4.76,4.62,4.29
1703240,8991556,2,Cascais e Estoril,Cascais,38.708170,-9.461170,Entire residential home,Entire home/apt,4,2,1,2,197,4,44,4.91,4.93,4.98,4.86
1710864,9006026,3,Misericrdia,Lisboa,38.707240,-9.145830,Entire condominium (condo),Entire home/apt,5,1,3,5,75,3,157,4.81,4.91,4.81,4.87
1712662,9032944,1,Santa Maria Maior,Lisboa,38.709660,-9.135030,Entire rental unit,Entire home/apt,4,1,1,2,45,2,77,4.77,4.75,4.9,4.89
1720796,9071140,3,So Vicente,Lisboa,38.717430,-9.132210,Entire rental unit,Entire home/apt,6,1,2,2,99,3,110,4.95,4.97,4.99,4.76
1723975,9077554,0,Ericeira,Mafra,38.981810,-9.412240,Entire rental unit,Entire home/apt,6,1,2,3,60,2,17,4.88,4.69,4.88,4.56
1726473,3619738,1,Beato,Lisboa,38.735800,-9.123250,Entire rental unit,Entire home/apt,2,1,1,2,41,3,140,4.66,4.82,4.98,4.27
1726996,5691663,76,Arroios,Lisboa,38.716720,-9.137910,Entire rental unit,Entire home/apt,2,1,1,2,60,2,62,4.69,4.84,4.76,4.69
1728602,8677407,3,Misericrdia,Lisboa,38.713500,-9.148960,Private room in rental unit,Private room,1,1,1,1,35,3,9,4.13,4,3.88,4.75
1731305,9121404,3,Carnaxide e Queijas,Oeiras,38.714690,-9.257330,Entire residential home,Entire home/apt,5,1,3,5,80,3,41,4.76,4.74,4.87,4.57
1733994,9134600,3,Santa Maria Maior,Lisboa,38.712660,-9.135360,Entire rental unit,Entire home/apt,3,1,1,1,50,2,303,4.53,4.79,4.7,4.86
1737527,5809174,6,Misericrdia,Lisboa,38.712680,-9.144630,Entire rental unit,Entire home/apt,3,1,1,1,65,3,222,4.58,4.74,4.77,4.75
1738694,9156183,2,Cascais e Estoril,Cascais,38.713860,-9.431550,Entire rental unit,Entire home/apt,7,1,3,6,65,3,19,4.47,4.47,4.19,3.75
1746573,4932645,2,Carcavelos e Parede,Cascais,38.680360,-9.329700,Entire rental unit,Entire home/apt,4,1,1,2,65,2,30,4.7,4.73,4.63,4.77
1763340,9268837,2,Santa Maria Maior,Lisboa,38.713170,-9.134970,Entire rental unit,Entire home/apt,2,1,1,1,72,3,57,4.79,4.84,4.82,4.89
1764860,2308261,3,Campo de Ourique,Lisboa,38.716710,-9.166240,Private room in rental unit,Private room,2,1,1,1,65,4,43,4.95,5,4.98,4.84
